model,session,fc_r,global_fEI,motor_fEI,contra_fEI,ipsi_fEI,global_dis_cri,motor_dis_cri,contra_dis_cri,ipsi_dis_cri,motor_internal_I_E,motor_internal_r_E,motor_internal_S_E_over_S_I
rWW-only BW,baseline,0.18155628287850317,1.0707644861977175,1.082164829194999,1.054114124454318,1.1102155339356803,0.2982999354601414,0.3951205768575444,0.3970755419850942,0.3931656117299947,-0.39230582118034363,7.578398704528809,1.1626732349395752
rWW-only BW,followup6w,0.18103660145733136,1.0479375281169252,0.9498724080980322,0.9461627518644763,0.953582064331588,0.30679476277928786,0.2443968574388438,0.25001700864902016,0.23877670622866742,0.3548136353492737,2.1643779277801514,3.6150760650634766
