session,G,w_EE,w_EI,w_IE,motor_S_E,motor_S_I,motor_E_to_I_drive,motor_I_E,motor_S_E_over_S_I,background,local_E,network_E,network_E_from_motor,network_E_from_nonmotor,local_inhibition
baseline,0.2984292314859281,0.5391061348225239,2.458572510317109,2.9482085365129937,0.33166407474449705,0.2857486233115196,0.12231302652398691,-0.39230580415044514,1.1626733115741186,0.3773806095123291,0.02682032103517226,0.04593980072864464,0.016980547957409713,0.028959252226522347,-0.8424465358257294
followup6w,0.2213070922502352,0.5834887514355774,0.6055122932928464,1.3574192097425946,0.12220168273363795,0.033755840733647346,0.01109919317344349,0.35481366515159607,3.6150765929903304,0.3773806095123291,0.010695496440998145,0.012558392781232084,0.004637841151152978,0.007920550955501596,-0.045820829059396474
