session,fixed_point_success,fixed_point_residual_rms,fixed_point_message,G,w_EE,w_EI,w_IE,global_S_E,global_S_I,global_I_E,global_r_E,motor_S_E,motor_S_I,motor_I_E,motor_r_E,motor_S_E_over_S_I,max_real_lambda,leading_lambda_imag,stability_margin,motor_loading_fraction,motor_loading_enrichment,motor_E_loading_fraction,motor_I_loading_fraction,contra_motor_loading_density,ipsi_motor_loading_density,bilateral_motor_loading_density,local_motor_block_max_real_lambda
baseline,True,4.087932255704716e-15,`gtol` termination condition is satisfied.,0.2984292314859281,0.5391061348225239,2.458572510317109,2.9482085365129937,0.012841122557884029,0.026740148848324954,0.30132914088565915,0.2029355979280274,0.012852827774627585,0.02674228599346697,0.3013523506200507,0.20312294665313793,0.48061656001755054,-11.9555922872462,0.0,11.9555922872462,0.14907408328518346,1.0648148806084532,0.14907390854462013,0.14907870793608483,0.010879090156106453,0.010648148806073886,0.01076361948109017,-12.355520831470526
followup6w,True,2.4822610594694315e-15,`gtol` termination condition is satisfied.,0.2213070922502352,0.5834887514355774,0.6055122932928464,1.3574192097425946,0.09003508446053254,0.02846839663024494,0.35573431583598664,1.543855349920866,0.0905133180562809,0.02849044207377824,0.35591249965405325,1.5527964933603624,3.1764991446724613,-7.165619920548192,0.0,7.165619920548192,0.15145852564588147,1.0818466117562962,0.15145844239573855,0.15149475843223895,0.011169285374411838,0.010818466117552146,0.010993875745981992,-8.921013713296128
